strain,date,qc.overallStatus,source
CASC253305,2021-07-02T00:00:00Z,good,1
CASC253323,2021-07-03T00:00:00Z,good,2
CASC253324,2021-07-07T00:00:00Z,good,3
CASC253362,2021-07-09T00:00:00Z,good,4
CASC253364,2021-07-11T00:00:00Z,good,5
CASC253396,2021-07-10T00:00:00Z,good,6
CASC253424,2021-07-03T00:00:00Z,good,7
CASC253431,2021-07-07T00:00:00Z,good,8
CASC253447,2021-07-10T00:00:00Z,good,9
CASC253449,2021-07-07T00:00:00Z,good,10
CASC253459,2021-07-10T00:00:00Z,good,11
CASC253460,2021-07-10T00:00:00Z,good,12
CASC253470,2021-07-10T00:00:00Z,good,13
CASC253553,2021-07-08T00:00:00Z,good,14
CASC253556,2021-07-08T00:00:00Z,mediocre,15
CASC253674,2021-07-12T00:00:00Z,good,16
CASC253750,2021-07-14T00:00:00Z,bad,17
CASC253809,2021-07-14T00:00:00Z,good,18
